,sentence,label
1144,September 14  2005 Statement of Senator Hillary Rodham Clinton on Senate Consideration of the Katrina Commission                                                                                                                                                                                                                                                                                                                    Washington  DC     Four years ago this week  our nation was grappling with the catastrophic aftermath of the attacks on 9 11   What happened on that tragic day changed my state of New York  our nation  s capital and our country forever          Over the past two weeks  we have come to a similar realization about Hurricane Katrina   The Hurricane left in its path not just death and devastation  but a deep  lasting scar   And while we must now work to do everything we can to help the victims of this national tragedy  we must also do everything we can to make sure that the mistakes that were made never happen again          I called for an independent Katrina Commission because it is simply not appropriate for government to investigate itself   If we are truly going to provide the people in the Gulf    and all Americans    with the answers they deserve  we need an independent commission free of partisan politics   It is also important that Congress not be distracted from the task at hand    making sure that our fellow citizens get all the help they need as they recover and rebuild          What happened today on the Senate floor is the same thing that happened four years ago when our nation was desperately searching for answers after 9 11   Urgent calls for an independent commission were repeatedly ignored  but the American people did not fall silent   They continued to demand action and eventually the Administration relinquished its opposition to the 9 11 Commission   And our nation was well served by the Commission  s work          On behalf of the people of the Gulf who I visited with last week in Houston  and all Americans who are demanding answers  I will continue to fight for the creation of the Katrina Commission   I firmly believe that we need to look back to see what went wrong so we can move forward and do better   Only through an independent Katrina Commission will we be able to know that no storm or no act of terrorism will ever again leave us so unable to respond                 ,0
1968,"DARK SIDE OF CHOCOLATE
  A delegation of American lawmakers is visiting cocoa plantations in Ivory Coast and Ghana this week to monitor child labor abuses. Senator Bernie Sanders said before departing for Africa that he hoped ""to see to what degree indentured children are being used to manufacture products which come into this country as chocolate."" One 2005 study said as many as 200,000 children worked in plantations in the Ivory Coast, according an Agence France-Presse report. ""The issue of child labor and the fact that you have very young kids who are working horrendous hours and not going to schools is an international problem,"" Sanders told the Burlington weekly newspaper Seven Days, ""and it's one that has concerned me for a number of years. So we'll take a look and see what's going on in the chocolate industry."" 
   While most of the major cocoa exporters - Cargill; Archer, Daniels, Midland & Nestle - and manufacturers - Mars and Hershey's - haven't certified any of their cocoa as child-labor free, a third-party, independent monitoring group called TransFair USA has been able to certify that approximately 16,000 cocoa farms in Ghana and the Ivory Coast were free of the worst forms of child labor through the ""Fair Trade Chocolate"" movement. Through a certification process, cocoa farmers are guaranteed a living wage, farmers agree not to use indentured labor, and farms are organized into democratic cooperatives. Unfortunately, none of the major cocoa exporters, producers, or manufacturers has agreed to participate in the Fair Trade Chocolate movement, so less than 1 percent of the chocolate consumed in the world is Fair Trade Chocolate.
 
 ",0
1933,"SENATE BACKS DRUG IMPORTATION
  The Senate voted 63 to 28 to advance an amendment cosponsored by Sen. Bernie Sanders to allow importation of safe, FDA-approved prescription drugs from Canada and other countries. ""The unfortunate reality is that Americans continue to pay, by far, the highest prices in the world for prescription drugs. Because of the escalating cost of medicines, many people do not get their prescriptions filled. Many people remain ill, and some die. That's just not right. It's time for Congress to act decisively to make sure every person in this country can afford the life-saving medicines that he or she needs at a price that is affordable,"" Sanders said.
   The vote in the Senate on Thursday showed there is more than enough support to attach the provision to the Food and Drug Administration overhaul bill the Senate is debating this week. 
   Said Sanders: ""The very simple question is: why do Americans have to pay the highest prices in the world for their medicine? Why, when we import huge quantities of food products from Latin America, China and all around the world, can we not import FDA approved medicine from a small number of drug companies in the most industrialized countries on earth. The answer is that we can and we must.
   ""In many ways, the American people are now giving up on their own government in this area - and are taking matters into their own hands. Several years ago there was an estimate that two million Americans were going across the Canadian border to purchase safe and affordable medicine. The American people want action on this issue, they want us to lower the cost of prescription drugs in this country, and today is the day for us to do that by passing prescription drug re-importation and the Dorgan amendment.
   ""Clearly, the drug companies have been fighting back hard. According to a January 12, 2007, Washington Post article, they have spent some $900 million in lobbying between 1998 and 2005. It has reported that they have on their payroll over 1200 well paid lobbyists - including former leaders of the Republican and Democratic parties. And from 1990 to 2006, they made over $139 million in campaign contributions.
   ""And it is not like the Drug Companies are hurting. According to Fortune Magazine, the top 19 pharmaceutical companies in 2005 made $42.1 billion in profits. In 2004 their profit margin was almost 16 percent, 3 times higher than the average of Fortune 500 companies.
   USA Today reported that Sanders ""spoke in pointed terms about what he described as the ""enormous"" power of the drug companies over Congress. He noted figures showing that since 1998, the pharmaceutical industry has spent more than $900 million on federal lobbying. The 1,200 registered prescription-drug lobbyists ""descend like locusts into the offices of members of Congress and say, 'Don't vote for change. Keep the status quo alive. Make sure that the American people continue to pay the highest prices for medicine in the entire world,' "" Sanders said.
   The American Chronicle wrote that after Sanders delivered his speech, a"" visibly emotional Senator Robert Byrd stood to say, ""Thank God for Bernie Sanders, the Senator from Vermont. Thank God."" That was all he said - it was all he had to say. The reason for his remark was the speech Senator Sanders had just delivered. In a scathing rebuke of the nine-year congressional deference to the pharmaceutical industry, Senator Sanders told the nation what has been going on during that time. What had happened was that the kind of remarks that are normally only heard in homes and gathering places across the country had been said by a Senator - on the floor of the Senate - in front of a camera.""
 
 ",0
1476,March 18  2005 Senator Clinton Announces National Governors Association Endorsement of TRICARE Legislation                                                                                                                                                                                                                                                                                                                      Washington  DC    Senator Hillary Rodham Clinton today announced that the National Governors Association has endorsed bipartisan legislation that she introduced with Senator Lindsey Graham  SC  to improve benefits for National Guard and Reserve members and their families   The Guard and Reserve Readiness and Retention Act of 2005 would promote recruitment  readiness and retention by offering TRICARE military healthcare benefits to members of the Guard and Reserve for a modest monthly premium             Our nation  s governors know first hand the critical role our guard members and reservists are playing in both our homeland security and in our military operations overseas   And they recognize that the benefits we offer our guard members and reservists need to keep up with the times     said Senator Clinton     That  s why it is so significant that the National Governors Association has endorsed the bipartisan effort that I am leading with Senator Lindsey Graham to provide access to health care benefits to every guard member and reservist  regardless of their activation status             The role of the guard members and reservists has changed fundamentally since the September 11 attacks   In the years since  the guard members and reservists have experienced their largest sustained mobilization since World War II   These servicemen and women include the 42nd Infantry Division based in Troy  New York  the first complete National Guard division to be deployed to a combat zone since the Korean War   Today  the total number of Reservists on active duty is 183 251 people   Over 40 percent of our forces in Iraq are Reservists             Senator Clinton emphasized that a major challenge is making sure our guard members and reservists are ready to serve when called to duty   During the mobilization of Reserve Component members in Operation Iraqi Freedom  the Reserves discovered that a significant number of the activated servicemen and women were not medically fit for deployment   In addition  about 20 percent did not have any health insurance at all            To address this problem  the TRICARE legislation would provide every Guardsman and Reservist  along with their families  access to health care whether or not they are on active duty   Senators Clinton and Graham are working with their colleagues on both sides of the aisle to pass the legislation this year                Members of the National Guard and Reserve and their families in New York and across the country are making extraordinary personal sacrifices as they serve their country with courage and distinction   Doing right by them shows that we honor the service these troops give valiantly to our nation     said Senator Clinton     Providing the Guard and Reserves  as well as their families  with adequate support and benefits is the least that a grateful nation can do             ,0
1358,December 17  2007 Clinton Secures GAO Study on Shared Border Management                                                                                                                                                                                                                                                                                                                                                            Measure Included in FY 2008 Omnibus Appropriations Bill                                                                                                                                                                                                                                                                                                                                                           Washington  DC  Senator Hillary Rodham Clinton today announced that the Omnibus Appropriations bill includes an amendment she sponsored to require the Government Accountability Office  GAO  to provide a study on the Department of Homeland Securitys  DHS  use of Shared Border Management  SBM    In announcing the amendment  Senator Clinton underscored the importance of the study to New York s northern border communities      For over three years  we have been waiting for an explanation of why Shared Border Management is not possible at the site of the Peace Bridge   This measure will force Secretary Chertoff and the Department of Homeland Security to give New Yorkers the answers they deserve  said Senator Clinton   Although we dont yet know why DHS and the Canadian government could not find common ground on this issue  the Department of Homeland Security has a responsibility to offer guidance and resources to help ease the burden on Buffalo and the State of New York as efforts to expand the Peace Bridge move forward    Senator Clintons amendment requires the GAO to study the Department of Homeland Security s use of shared border management to secure the international borders of the United States  The GAOs report shall include any negotiations  plans  or designs conducted DHS regarding the practice of shared border management and the factors required to be in place for shared border management to be successful    Senator Clinton earlier addressed her concerns regarding the failure of DHS to secure a SBM agreement in a letter to Secretary Chertoff and asked the Secretary to provide reassurance that now that Shared Border Management has failed  the Administration will help local communities move forward to fix the problems at the Buffalo Niagara Border         ,0
339,   Obama Response to the President s State of the Union Address   U S  Senator Barack Obama                       Barack Obama                                                                           Obama Response to the President s State of the Union Address Tuesday  January 23  2007  Contact  Tommy Vietor or Robert Gibbs  202 228 5511  Date  January 23  2007  Obama Response to the President s State of the Union Address    The President offered some serious proposals tonight on two issues   energy and health care   that we all agree must be addressed   I m glad he did and I think it s important to respond in a constructive way   But the last election proved that politics by slogan and poll tested sound bites aren t going to cut it with the American people anymore  and that s why the real test of leadership is not what the President said to Congress tonight  but how he works with Congress to find real solutions to the problems we face       The good news is that in the halls of Congress and across the nation  there is widespread support from both Democrats and Republicans on how to meet the major challenges facing America      Most Americans believe that escalation will not bring the war in Iraq to a responsible end  and that s why I ve proposed not just a troop cap  but a phased redeployment that will start bringing our troops home   Most Americans believe that energy independence will come from using more biofuels like ethanol and making cars that actually use less oil  which is why I proposed a bipartisan plan that would raise fuel economy standards for the first time in decades   Most Americans believe that the biggest domestic challenge facing the country is the high cost of health care  and that s why incremental plans that do nothing to bring down costs or guarantee coverage are simply no longer sufficient      The American people have been waiting for leadership commensurate to the challenges we face  and they ll be watching to see if bold rhetoric is followed by bold action in the months to come                                     ,1
696,   Obama Applauds EPA s Commitment to Write Long Delayed Laws to Protect Kids from Lead Paint   U S  Senator Barack Obama                       Barack Obama                                                                           Obama Applauds EPA s Commitment to Write Long Delayed Laws to Protect Kids from Lead Paint Monday  July 25  2005  FOR IMMEDIATE RELEASE  Washington Contact  Robert Gibbs or Tommy Vietor   202  228 5511  Illinois Contact  Julian Green     Date  July 25  2005  Obama Applauds EPA s Commitment to Write Long Delayed Laws to Protect Kids from Lead Paint   WASHINGTON   In a letter to U S  Environmental Protection Agency  EPA  Administrator Stephen L  Johnson  U S  Senator Barack Obama  D IL  Monday said that he is pleased by EPA s commitment to write long delayed regulations to protect children from dangerous lead paint exposure    Renovation and repair of older residences is the principal source of lead paint exposure to U S  children  According to federal studies  a large majority of the approximately 20 30 million renovations done on older homes each year are done without lead safe cleanup and contamination practices  Over 430 000 children in America have dangerously high levels of lead in their blood    In 1992  Congress required the EPA to write regulations relating to the dispersal of lead paint by contractors during home remodeling by October  1996  As of July 2005  these regulations still have not been written  In April  Administrator Johnson stated that to address the problem of lead paint poisoning  the EPA  will determine what additional steps may be necessary  including regulation  despite the fact that the 1992 law does not say the regulations are optional    When asked about the status of these regulations before the EPW Committee two weeks ago  Deputy Administrator designate Marcus Peacock stated    As I understand it  the Agency will announce by the end of this year a comprehensive program  which will include a proposed regulation  as well as an extensive education and outreach campaign aimed at the renovation  repair  and painting industry and the consumer     Obama also received a letter from Susan Hazen  Principal Deputy Assistant Administrator  which said   the Agency plans to announce by the end of this year  a comprehensive program that will include a proposed rule     In light of commitments I have received from Mr  Peacock and Ms  Hazen  I voted last Wednesday to confirm Mr  Peacock for the deputy administrator position   Obama wrote   However  I want you to know that I will be closely monitoring EPA s actions regarding lead paint and will expect proposed rules to be issued by December 31  2005     Full text of the letter below     July 25  2005   The Honorable Stephen L  Johnson  Administrator  U S  Environmental Protection Agency  401 M Street  SW  Washington  DC  20460   Dear Administrator Johnson    As you may know  I have been concerned about the failure of the Environmental Protection Agency  EPA  to promulgate regulations pursuant to 15 U S C  S2682 c  3    This provision requires EPA to issue rules for contractors to reduce lead exposure during home renovation and remodeling by October 1996   Almost nine years later  these rules still have not been issued  and I have spent the past few months trying to understand why    When your nomination was considered by the Senate Environment and Public Works  EPW  Committee in April  I asked you when EPA was going to issue these rules   You stated that EPA was focusing on a voluntary education and outreach program and  will evaluate the effectiveness of this effort and will determine what additional steps may be necessary  including regulation    Of course  15 U S C  S2682 c  3  does not give EPA the option of whether to promulgate regulations     In May  Sen  Boxer  Rep  Waxman  and I wrote a follow up letter to you  asking once again when EPA would issue these rules on lead   We received no response for two months    In June  I included an amendment in the EPA appropriations bill that would prohibit the agency from spending any funds to delay the implementation of 15 U S C  S2682 c  3    That bill passed the Senate unanimously    When Deputy Administrator designate Marcus Peacock appeared before the EPW Committee two weeks ago  I asked him about the status of these lead rules   Responding to written questions that I submitted to him after the hearing  Mr  Peacock stated    As I understand it  the Agency will announce by the end of this year a comprehensive program  which will include a proposed regulation  as well as an extensive education and outreach campaign aimed at the renovation  repair  and painting industry and the consumer     I am pleased by Mr  Peacock s statement  which is a significant departure from your response in April   I am also encouraged by a letter I received last week from Susan Hazen  Principal Deputy Assistant Administrator  responding to my May letter   Ms  Hazen reiterated that  the Agency plans to announce by the end of this year  a comprehensive program that will include a proposed rule     In light of the commitments I received from Mr  Peacock and Ms  Hazen  I voted last Wednesday to confirm Mr  Peacock for the deputy administrator position   However  I want you to know that I will be closely monitoring EPA s actions regarding lead paint and will expect you to honor your commitment to issue these proposed rules by December 31  2005     I look forward to working with you on this important issue     Sincerely     Barack Obama  United States Senator                                   ,1
522,   Obama Calls for the Expansion of Children   s Health Insurance   U S  Senator Barack Obama                       Barack Obama                                                                           Obama Calls for the Expansion of Children   s Health Insurance Tuesday  July 31  2007  FOR IMMEDIATE RELEASE   CONTACT  Ben LaBolt WASHINGTON  D C      U S  Senator Barack Obama  D IL  today spoke on the Senate floor to call for the expansion of the Children   s Health Insurance Program  CHIP    As more Americans lose their health insurance everyday  CHIP has provided 6 million uninsured children with the health care they need  and encouraged states like Illinois to build on its success and expand health coverage even further   The reauthorization bill before the Senate would expand coverage to reach an additional 3 2 million children  Obama   s remarks  as prepared for delivery  are below     As I   ve traveled across this country over the last few years  there are fewer issues that show a greater disconnect between what the American people want and the way Washington works than health care          Every year people put it at the very top of their list of concerns   Every year more people lose their insurance  or watch their premiums skyrocket  or open up medical bills that they just can   t pay          And yet  whenever the issue actually comes up in Washington  they watch health care debates play out that are filled with half truths and scare tactics   They see insurance companies run ads telling folks they   ll lose their doctor or wait forever if universal health care is passed          They watch the industry spend billions on lobbyists who use undue influence to block much needed reform   And at the end of the day  nothing gets done  and we move on to fight about something else          To most Americans  we seem completely disconnected from the reality that they   re living every day   Especially when we have a President who actually said     I mean  people have access to health care in America   After all  you just go to an emergency room             That   s what passes for universal health care in the greatest  wealthiest country on Earth     overcrowded  understaffed Emergency Rooms that raise everyone   s premiums and cost taxpayers more money          It   s shameful   And what   s even more shameful is that nine million of the Americans who are forced to wait in Emergency Rooms when they get sick     who have no health insurance at all     are children          Children who did not choose where they were born or how much money their parents have   Children whose development depends on the care and nourishment they receive in those early years   Children who any parent  anywhere  should want to protect at any cost          Now  we can shade the truth and pretend there are only one million uninsured like the President says   We can make excuses for this neglect or we can just ignore it altogether  but as long as there are nine million children in the United States of America with no health insurance  it is a betrayal of the ideals we hold as Americans          It   s not who we are  and today is our chance to prove it          We know that CHIP works   Because of CHIP  6 million children who   d otherwise be uninsured have health care today   Because of CHIP  millions of children are protected when their parents lose their health care          Because of CHIP  individual states like my home state of Illinois are building on its success to expand health coverage even further   And because of CHIP  millions of children with asthma  traumatic injuries  and mental health conditions  are able to see a doctor and get the treatment they need           Even though the uninsured rate among low income children fell by more than one third in the years after CHIP was enacted  the trend reversed two years ago   And since then  we   ve seen growing numbers of uninsured children          Uninsured children are twice as likely as insured children to miss out on needed medical care  including doctor visits and checkups          One quarter of uninsured children don   t get any medical care at all   And those who do  get lower quality care   Even with the same illnesses and conditions  whether it   s an ear infection or appendicitis  studies have found that uninsured children get different treatment  and often suffer more as a result   One study even found that uninsured children who are admitted to a hospital with injuries are twice as likely to die there as children who do have insurance          And to put this problem in the larger context  we know that when a child gets sick and can   t get treated     or receives inadequate treatment     he misses more days of school   And when he misses more school days  he begins to do worse relative to his peers   And that can have long term consequences on his chances in life   That   s not something I   d want for either of my two young daughters or for any other American child         So let   s get serious and solve this problem   Let   s reauthorize CHIP   Let   s make sure that the 6 million children who are now covered through the program continue to be covered     and let   s extend coverage to an additional 3 2 million uninsured children         But we also know that the question of children   s health care is tied to the larger question of universal care in this country  Because we know that when we cover parents  we also cover children   And that   s something we   ve seen in Illinois   When I was a State Senator  I was able to help extend health care coverage to an additional 150 000 parents and their children   So if we   re serious about covering every child  we have to cover every parent as well          The American people have been waiting for us to act on health care for far too long   And starting by covering more children should not be a difficult issue to agree on                                         ,1
1117,June 14  2006 Senator Clinton  Democratic Colleagues Call on Administration to Do More on Theft of Veterans and Active Duty Soldiers   Personal Data                                                                                                                                                                                                                                                                            Senators call on GAO to Investigate Major Discrepancies in Information Provided by Department of Veterans   Affairs      Introduce legislation to prevent further breaches                                                                                                                                                                                                                                    Washington  DC    Senator Hillary Rodham Clinton today joined with her Democratic colleagues to call on the Administration to take major action following the theft of veterans   and servicemembers   personal data  At a press conference  the Senators accused the Administration of carelessness and incompetence in dealing with the public on the true nature of the problem and charged that the Department has acted too slowly to address the serious issues involved with the data theft            As a nation  we were all deeply concerned when we learned of this Veteran  s Affairs data theft incident  26 5 million veterans had their personal data stolen and their privacy compromised   Now we learn that millions of currently serving members of our Nation  s Armed Forces were included in this security breach as well     Senator Clinton said    Our veterans served our nation and deserve better than to have their private information treated so carelessly    And the American men and women serving so selflessly today need less to worry about  not more             In a letter to the U S  Comptroller General  the Senators urged him to conduct an in depth Government Accountability Office study to get the facts on this breach and to address the vulnerabilities that led to it  The Senators also announced they were introducing legislation sponsored by Senator Akaka  to address the unauthorized removal or use of personal information maintained in Federal databases   The legislation would compliment existing law and provide another tool for the protection of health information              This Administration  s incompetence has now gone digital    and the men and women who serve our country  and their families  are the ones who will pay the price     Senator Clinton said     We owe it to our men and women in uniform to protect their privacy   We need to get to the bottom of this and prevent it from happening again               Soldiers serving in harms way should not bear the additional burden of worrying about identity theft   And we should not place still more pressure on the families back home in dealing with the ripple effects of potential or actual identity theft     Senator Clinton said          The   Data Theft Protection Act of 2006     would establish Federal penalties for anyone who knowingly and without authorization views  uses  downloads or removes any means of identification or individually identifiable health information that is in a Federal database   It would also make illegal the transfer of such information to any computer  network  database or other format used to store information that is not a Federal database   It establishes Federal penalties for any person who uses a means of identification or individually identifiable health information obtained directly or indirectly from a Federal database in furtherance of a violation of a Federal or State criminal law   The bill is designed to serve as deterrent to prevent future breaches of personal information from Federal databases           A copy of the Senators   letter is attached          June 14  2006  Mr  David M  Walker  Comptroller General of the United States  Government Accountability Office  441 G Street  NW  Washington  DC 20548      Dear Mr  Walker       Last week  several major newspapers reported that the personal information of 80  of our active military personnel was included in the May 3rd heist of a personal computer belonging to a Department of Veterans Affairs employee   According to the VA  the information contained the names  Social Security Numbers  and birthdates of 2 2 million military personnel 1    A spokesman from the department said 1 1 million active duty personnel  430 000 National Guard members  and 645 000 Reservists were among the 26 5 million identities stolen from the laptop computer            These recent revelations directly contradict the Department of Veterans Affairs initial response to the massive data breach that occurred in early May  The New York Times reported that the May 22nd announcement included the larceny   of up to 26 5 million veterans  and their spouses     2  Yet  at no time were any active military personnel  or members of Congress  aware that the personal security of the bulk of our military apparatus was jeopardized           Given this new revelation and the continued failure of the Department of Veterans Affairs to provide accurate  timely and complete information to the American people or the Congress  we are writing to request the Government Accountability Office further investigate this matter           This security breach not only threatens the identity and financial security of millions of veterans and active military personnel  but also the safety and security of our troops and their families   Security experts have suggested that the data theft may have profound consequences on the safety of our troops      There is a global black market in this sort of information    and you suddenly have a treasure trove of information on the U S  military that is available    said James Lewis  director of technology and public policy at CSIS     3           Unfortunately  this new disclosure by the VA is just the latest example in a long record of incompetence and deception within the Department of Veterans Affairs and the Bush administration            The Department of Veterans Affairs has shown a pattern of careless  and possibly even deceitful  communication  both within the department itself and to the Congress and the public at large with respect to this data loss  Secretary Nicholson was not informed about the data theft until 13 days after the burglary  When Senator Susan Collins asked him how it was possible he was not informed immediately  he replied that it was unclear  4   Additionally  officials in the department did not report the May 3rd data theft until over two weeks later on May 22nd  leaving millions of veterans unknowingly at high risk of identity theft   Also  when the department learned that the personal information of active military personnel was compromised  Secretary Nicholson badly underestimated the number of troops put in harms way   His estimation of 50 000 Navy and National Guard members affected accounted for just a tiny fraction of the total number of American troops exposed  5          The information security breach is even more egregious considering VA  after continual security audits  was well aware of the vulnerability of its data security  According to VA Inspector General George Opfer    In all four audits of the VA Security Program issued since 2001  we reported serious vulnerabilities that remain uncorrected  These reports highlight specific vulnerabilities that can be exploited  but the recurring themes in these reports are the need for centralization  remediation  and accountability in VA information security  Since the FY 2001 report  we reported weakness in physical security  electronic security  wireless security  personnel security  and FISMA reporting     6          For all these reasons  we ask that the Government Accountability Office make an in depth inquiry into the causes of this serious breach  the adequacy of the VA  s response  and the impact to the veterans and military community at large   More specifically  we desire that the GAO               Provide a full and complete assessment of the security breach  affected personnel and the impact of this incident             Review and evaluate the impact of the delay by VA officials to analyze the contents of the stolen data and further assess its content              Review the adequacy of VA  s response to recommendations by GAO and the VA Inspector General to make VA compliant with the Federal Information Security Management Act   Please describe in detail VA  s implementation efforts or responses in this regard             Identify any needed legislative solutions that would address requirements for notifying citizens in a timely manner of breaches or losses of personal information from Federal databases           Review VA  s response  and the adequacy of that response  to strengthen personal information security management               Review the adequacy of existing laws  such as the Privacy Act  to protect personal information contained with Federal electronic databases and provide recommendations on how these laws might strengthen in light of current vulnerabilities and the state of technology             Review and evaluate the impact of the data theft on the veterans   community  active  guard and reserve members and what efforts are being undertaken by VA to ensure that the stolen personal information is not misused  whether those steps are adequate  what additional measures might be necessary to protect those whose information was lost  and finally  how to deal with any harm caused to those individuals from this breach          We look forward to working with you regarding this most important matter          Sincerely          ,0
1555,December 19  2007 Schumer and Clinton Announce Final Congressional Approval of Funding for Westchester and Rockland Counties                                                                                                                                                                                                                                                                                                       Funds Included as Part of the Fiscal Year 2008 Omnibus Appropriations Bill   Funding Included for Westchester County Bee Line Bus System                                                                                                                                                                                                                                                                 Washington  DC  Senators Charles E  Schumer and Hillary Rodham Clinton today announced final Congressional approval of the Fiscal Year 2008 Omnibus Appropriations Bill  which includes funding for projects in Westchester and Rockland Counties  including the Westchester County Bee Line Bus Systems Low Emission ADA Accessible Replace Buses project  The omnibus bill  having passed both houses of Congress will now go to the President to be signed into law    These projects are crucial to fueling economic growth across Westchester and Rockland and for giving local residents top notch services in education  law enforcement and health care  said Senator Schumer  By investing in these vital projects  we ensure that Westchester and Rockland counties continue to lure new businesses and tourists to the region  while ensuring families have the first class services they need    I am pleased that my colleagues in Congress have approved the funding for these projects that will help support critical investments in Westchester and Rockland Counties  from vital law enforcement support to cleaner and more efficient mass transit  said Senator Clinton  I am especially pleased to see that funding was approved for the Westchester County Department of Transportation Bee Line Bus System  This investment will not only assist in replacing out dated buses  but it will also help to decrease emissions    The Westchester County Department of Transportation Bee Line Bus Systems Low Emission ADA Accessible Replacement Buses project will receive  764 400 of federal funds to replaces buses to decrease emissions   Westchester County proposes the replacement of 114 over age buses in the County public transit fleet  30 of which are not ADA accessible   This money will fund busses ordered in 2006 through 2008  to be delivered in 2007 through 2009    The Omnibus Appropriations bill includes funding for the following projects for Westchester and Rockland         ,0
